healthcare spending,2010,2011,2012,2013,2014,2015,2016,2017,2018,Notes,,,,,,,,,
South Africa,153,163,154,137,126,110,98,110,108,USD/person,,,,,,,,,
Turkey,350,333,340,348,326,287,318,313,328,USD/person,,,,,,,,,
United Kingdom,803,821,784,749,766,686,603,573,607,USD/person,,,,,,,,,
United States,11123,11245,10750,9975,9439,9153,9149,9171,9758,USD/person,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,"Korea, Rep.",Mexico,Russian Federation,Saudi Arabia,South Africa,Turkey,United Kingdom,United States,
85,1054,174,568,87,950,566,37,19,542,922,220,119,515,317,153,350,803,11123,
98,1191,187,623,103,989,600,40,24,574,1023,242,130,607,339,163,333,821,11245,
109,1153,171,589,117,914,578,37,26,504,1008,250,139,695,395,154,340,784,10750,
122,1073,164,528,133,946,570,37,33,500,814,269,155,744,467,137,348,749,9975,
117,1098,161,504,147,959,569,39,27,457,771,295,171,704,562,126,326,766,9439,
127,1010,120,502,156,831,487,39,30,366,693,288,152,545,605,110,287,686,9153,
103,1091,118,492,157,858,505,43,28,414,767,290,117,561,441,98,318,603,9149,
124,1126,141,584,164,904,549,48,31,442,750,309,112,533,487,110,313,573,9171,
93,1069,133,583,180,952,597,49,28,460,771,340,127,486,468,108,328,607,9758,
,,,,,,,,,,,,,,,,,,,
Education/GDP,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,
Argentina,0.05,0.053,0.053,0.054,0.054,0.058,0.056,0.055,0.055,,,,,,,,,,
Australia,0.056,0.051,0.049,0.052,0.052,0.053,0.053,0.053,0.054,,,,,,,,,,
Brazil,0.056,0.057,0.059,0.058,0.059,0.062,0.064,0.065,0.066,,,,,,,,,,
Canada,0.054,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,,,,,,,,,,
China,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.041,,,,,,,,,,
France,0.057,0.055,0.055,0.055,0.055,0.055,0.054,0.054,0.054,,,,,,,,,,
Germany,0.049,0.048,0.049,0.049,0.049,0.048,0.048,0.048,0.048,,,,,,,,,,
India,0.034,0.038,0.039,0.038,0.037,0.038,0.039,0.039,0.039,,,,,,,,,,
Indonesia,0.028,0.032,0.034,0.034,0.033,0.036,0.037,0.038,0.039,,,,,,,,,,
Italy,0.044,0.041,0.041,0.042,0.041,0.041,0.038,0.038,0.037,,,,,,,,,,
Japan,0.036,0.036,0.037,0.037,0.036,0.036,0.036,0.036,0.036,,,,,,,,,,
Korea,0.052,0.051,0.051,0.047,0.053,0.052,0.049,0.049,0.048,,,,,,,,,,
Mexico,0.039,0.039,0.038,0.039,0.039,0.039,0.039,0.039,0.039,,,,,,,,,,
Russia,0.038,0.038,0.038,0.038,0.04,0.038,0.037,0.037,0.037,,,,,,,,,,
Saudi Arabia,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,
South Africa,0.057,0.06,0.064,0.06,0.06,0.06,0.059,0.061,0.062,,,,,,,,,,
Turkey,0.031,0.03,0.031,0.031,0.032,0.031,0.031,0.031,0.031,,,,,,,,,,
United Kingdom,0.058,0.056,0.056,0.056,0.057,0.056,0.055,0.055,0.054,,,,,,,,,,
United States,0.039,0.038,0.036,0.035,0.035,0.035,0.034,0.034,0.033,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Education/GDP,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Korea,Mexico,Russia,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
2010,0.05,0.056,0.056,0.054,0.04,0.057,0.049,0.034,0.028,0.044,0.036,0.052,0.039,0.038,0.05,0.057,0.031,0.058,0.039
2011,0.053,0.051,0.057,0.053,0.04,0.055,0.048,0.038,0.032,0.041,0.036,0.051,0.039,0.038,0.05,0.06,0.03,0.056,0.038
2012,0.053,0.049,0.059,0.053,0.04,0.055,0.049,0.039,0.034,0.041,0.037,0.051,0.038,0.038,0.05,0.064,0.031,0.056,0.036
2013,0.054,0.052,0.058,0.053,0.04,0.055,0.049,0.038,0.034,0.042,0.037,0.047,0.039,0.038,0.05,0.06,0.031,0.056,0.035
2014,0.054,0.052,0.059,0.053,0.04,0.055,0.049,0.037,0.033,0.041,0.036,0.053,0.039,0.04,0.05,0.06,0.032,0.057,0.035
2015,0.058,0.053,0.062,0.053,0.04,0.055,0.048,0.038,0.036,0.041,0.036,0.052,0.039,0.038,0.05,0.06,0.031,0.056,0.035
2016,0.056,0.053,0.064,0.053,0.04,0.054,0.048,0.039,0.037,0.038,0.036,0.049,0.039,0.037,0.05,0.059,0.031,0.055,0.034
2017,0.055,0.053,0.065,0.053,0.04,0.054,0.048,0.039,0.038,0.038,0.036,0.049,0.039,0.037,0.05,0.061,0.031,0.055,0.034
2018,0.055,0.054,0.066,0.053,0.041,0.054,0.048,0.039,0.039,0.037,0.036,0.048,0.039,0.037,0.05,0.062,0.031,0.054,0.033
,,,,,,,,,,,,,,,,,,,
Education Nominal,,,,,,,,,,,,,,,,,,,
Argentina,21264868070,28048977624,29187289635,30011453977,28218313515,34353372950,31066651839,35401294970,28804698054,,,,,,,,,,
Australia,63715785738,70993530384,75415872486,82560700001,75922910956,71933774621,63830868695,70759843719,77547915977,,,,,,,,,,
Brazil,1.25E+11,1.50E+11,1.44E+11,1.44E+11,1.46E+11,1.12E+11,1.14E+11,1.33E+11,1.24E+11,,,,,,,,,,
Canada,86646119556,94367150902,97074881395,97595892244,95663075717,82370169860,81026303430,87379030676,90849775779,,,,,,,,,,
China,2.43E+11,3.02E+11,3.41E+11,3.83E+11,4.18E+11,4.41E+11,4.46E+11,4.86E+11,5.59E+11,,,,,,,,,,
France,1.93E+11,2.07E+11,1.92E+11,2.05E+11,2.14E+11,1.84E+11,1.88E+11,1.98E+11,2.13E+11,,,,,,,,,,
Germany,1.30E+11,1.38E+11,1.32E+11,1.39E+11,1.40E+11,1.17E+11,1.19E+11,1.24E+11,1.33E+11,,,,,,,,,,
India,56597091629,69206274878,70683894202,71384838385,75886331827,80093369755,89176140499,1.04E+11,1.07E+11,,,,,,,,,,
Indonesia,21235362053,28480713916,31276233613,30652050762,29290078234,30849572368,34832308520,39068912988,41015382230,,,,,,,,,,
Italy,92880779208,94981713330,85234347635,89179787700,87990105064,74935715580,71824018734,73708960579,77165918642,,,,,,,,,,
Japan,2.07E+11,2.24E+11,2.29E+11,1.89E+11,1.74E+11,1.60E+11,1.80E+11,1.77E+11,1.81E+11,,,,,,,,,,
Korea,56467628782,61393587012,62401078535,61311862723,74244914789,72391015453,69467591585,74561805941,78129031686,,,,,,,,,,
Mexico,41180204437,45897435724,45821583005,49499369410,50860479900,45148677391,41689718939,44777376708,47212586882,,,,,,,,,,
Russia,58336724201,78487673657,83762771732,86284953116,82508133501,52272026563,48015048591,58831195372,61563909454,,,,,,,,,,
Saudi Arabia,26410360000,33561942005,36798742168,37332356371,37817517367,32713495144,32246777072,34429306667,39326091579,,,,,,,,,,
South Africa,21476519211,24830016465,25252893014,22059432128,21217866231,18918081817,17605371101,21411413086,22691644248,,,,,,,,,,
Turkey,23976812745,25142215163,27311945207,29439444424,29520274926,26903044146,26828921832,26485846088,23959683965,,,,,,,,,,
United Kingdom,1.43E+11,1.50E+11,1.52E+11,1.56E+11,1.74E+11,1.64E+11,1.48E+11,1.45E+11,1.55E+11,,,,,,,,,,
United States,5.86E+11,5.88E+11,5.88E+11,5.94E+11,6.15E+11,6.40E+11,6.43E+11,6.56E+11,6.81E+11,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Argentina,21,28,29,30,28,34,31,35,29,Billion USD,,,,,,,,,
Australia,64,71,75,83,76,72,64,71,78,Billion USD,,,,,,,,,
Brazil,125,150,144,144,146,112,114,133,124,Billion USD,,,,,,,,,
Canada,87,94,97,98,96,82,81,87,91,Billion USD,,,,,,,,,
China,243,302,341,383,418,441,446,486,559,Billion USD,,,,,,,,,
France,193,207,192,205,214,184,188,198,213,Billion USD,,,,,,,,,
Germany,130,138,132,139,140,117,119,124,133,Billion USD,,,,,,,,,
India,57,69,71,71,76,80,89,104,107,Billion USD,,,,,,,,,
Indonesia,21,28,31,31,29,31,35,39,41,Billion USD,,,,,,,,,
Italy,93,95,85,89,88,75,72,74,77,Billion USD,,,,,,,,,
Japan,207,224,229,189,174,160,180,177,181,Billion USD,,,,,,,,,
Korea,56,61,62,61,74,72,69,75,78,Billion USD,,,,,,,,,
Mexico,41,46,46,49,51,45,42,45,47,Billion USD,,,,,,,,,
Russia,58,78,84,86,83,52,48,59,62,Billion USD,,,,,,,,,
Saudi Arabia,26,34,37,37,38,33,32,34,39,Billion USD,,,,,,,,,
South Africa,21,25,25,22,21,19,18,21,23,Billion USD,,,,,,,,,
Turkey,24,25,27,29,30,27,27,26,24,Billion USD,,,,,,,,,
United Kingdom,143,150,152,156,174,164,148,145,155,Billion USD,,,,,,,,,
United States,586,588,588,594,615,640,643,656,681,Billion USD,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Korea,Mexico,Russia,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
2010,21,64,125,87,243,193,130,57,21,93,207,56,41,58,26,21,24,143,586
2011,28,71,150,94,302,207,138,69,28,95,224,61,46,78,34,25,25,150,588
2012,29,75,144,97,341,192,132,71,31,85,229,62,46,84,37,25,27,152,588
2013,30,83,144,98,383,205,139,71,31,89,189,61,49,86,37,22,29,156,594
2014,28,76,146,96,418,214,140,76,29,88,174,74,51,83,38,21,30,174,615
2015,34,72,112,82,441,184,117,80,31,75,160,72,45,52,33,19,27,164,640
2016,31,64,114,81,446,188,119,89,35,72,180,69,42,48,32,18,27,148,643
2017,35,71,133,87,486,198,124,104,39,74,177,75,45,59,34,21,26,145,656
2018,29,78,124,91,559,213,133,107,41,77,181,78,47,62,39,23,24,155,681
,,,,,,,,,,,,,,,,,,,
Education/person,,,,,,,,,,,,,,,,,,,
Argentina,521,680,699,711,661,796,713,804,647,USD/person,,,,,,,,,
Australia,2892,3178,3317,3570,3234,3020,2639,2876,3103,USD/person,,,,,,,,,
Brazil,638,760,724,718,721,550,554,641,590,USD/person,,,,,,,,,
Canada,2548,2748,2796,2782,2699,2307,2244,2391,2451,USD/person,,,,,,,,,
China,182,225,253,282,306,321,323,350,402,USD/person,,,,,,,,,
France,2973,3162,2931,3111,3228,2757,2817,2962,3187,USD/person,,,,,,,,,
Germany,1588,1714,1646,1720,1733,1434,1441,1502,1599,USD/person,,,,,,,,,
India,46,55,56,56,59,61,67,78,79,USD/person,,,,,,,,,
Indonesia,88,116,126,122,115,119,133,148,153,USD/person,,,,,,,,,
Italy,1567,1600,1432,1481,1447,1234,1185,1218,1277,USD/person,,,,,,,,,
Japan,1620,1755,1795,1483,1368,1259,1415,1398,1430,USD/person,,,,,,,,,
Korea,1140,1229,1243,1216,1463,1419,1356,1449,1513,USD/person,,,,,,,,,
Mexico,361,397,391,417,423,371,338,359,374,USD/person,,,,,,,,,
Russia,408,549,585,601,574,363,333,407,426,USD/person,,,,,,,,,
Saudi Arabia,963,1187,1262,1242,1223,1031,994,1040,1167,USD/person,,,,,,,,,
South Africa,419,477,478,411,389,342,313,376,393,USD/person,,,,,,,,,
Turkey,332,342,366,388,382,343,336,327,291,USD/person,,,,,,,,,
United Kingdom,2276,2374,2385,2428,2686,2522,2254,2202,2329,USD/person,,,,,,,,,
United States,1894,1886,1874,1881,1932,1996,1989,2017,2080,USD/person,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Korea,Mexico,Russia,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
2010,521,2892,638,2548,182,2973,1588,46,88,1567,1620,1140,361,408,963,419,332,2276,1894
2011,680,3178,760,2748,225,3162,1714,55,116,1600,1755,1229,397,549,1187,477,342,2374,1886
2012,699,3317,724,2796,253,2931,1646,56,126,1432,1795,1243,391,585,1262,478,366,2385,1874
2013,711,3570,718,2782,282,3111,1720,56,122,1481,1483,1216,417,601,1242,411,388,2428,1881
2014,661,3234,721,2699,306,3228,1733,59,115,1447,1368,1463,423,574,1223,389,382,2686,1932
2015,796,3020,550,2307,321,2757,1434,61,119,1234,1259,1419,371,363,1031,342,343,2522,1996
2016,713,2639,554,2244,323,2817,1441,67,133,1185,1415,1356,338,333,994,313,336,2254,1989
2017,804,2876,641,2391,350,2962,1502,78,148,1218,1398,1449,359,407,1040,376,327,2202,2017
2018,647,3103,590,2451,402,3187,1599,79,153,1277,1430,1513,374,426,1167,393,291,2329,2080
,,,,,,,,,,,,,,,,,,,
Education/Student,,,,,,,,,,,,,,,,,,,
Argentina,3021,3938,4052,4120,3832,4615,4129,4657,3751,USD/student,,,,,,,,,
Australia,9281,10198,10646,11456,10379,9693,8468,9230,9958,USD/student,,,,,,,,,
Brazil,2750,3278,3124,3098,3108,2373,2390,2763,2543,USD/student,,,,,,,,,
Canada,9970,10753,10942,10885,10563,9027,8780,9357,9592,USD/student,,,,,,,,,
China,1137,1404,1578,1762,1912,2007,2019,2188,2508,USD/student,,,,,,,,,
France,9441,10042,9308,9878,10251,8756,8945,9405,10119,USD/student,,,,,,,,,
Germany,9832,10612,10194,10652,10732,8881,8921,9299,9899,USD/student,,,,,,,,,
India,286,346,349,348,366,382,421,484,492,USD/student,,,,,,,,,
Indonesia,918,1215,1316,1273,1200,1248,1392,1544,1602,USD/student,,,,,,,,,
Italy,9275,9468,8474,8764,8568,7304,7013,7207,7559,USD/student,,,,,,,,,
Japan,10273,11127,11381,9404,8678,7983,8974,8869,9069,USD/student,,,,,,,,,
Korea,9207,9934,10044,9824,11822,11466,10953,11706,12226,USD/student,,,,,,,,,
Mexico,2662,2926,2882,3073,3117,2733,2493,2647,2760,USD/student,,,,,,,,,
Russia,3846,5170,5508,5662,5403,3416,3133,3834,4013,USD/student,,,,,,,,,
Saudi Arabia,6016,7416,7884,7759,7641,6442,6209,6497,7289,USD/student,,,,,,,,,
South Africa,2619,2982,2986,2566,2430,2134,1957,2346,2453,USD/student,,,,,,,,,
Turkey,2960,3057,3267,3462,3413,3059,3001,2916,2599,USD/student,,,,,,,,,
United Kingdom,9825,10247,10298,10482,11597,10890,9730,9506,10054,USD/student,,,,,,,,,
United States,11856,11809,11735,11774,12095,12498,12455,12631,13026,USD/student,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Korea,Mexico,Russia,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
2010,3021,9281,2750,9970,1137,9441,9832,286,918,9275,10273,9207,2662,3846,6016,2619,2960,9825,11856
2011,3938,10198,3278,10753,1404,10042,10612,346,1215,9468,11127,9934,2926,5170,7416,2982,3057,10247,11809
2012,4052,10646,3124,10942,1578,9308,10194,349,1316,8474,11381,10044,2882,5508,7884,2986,3267,10298,11735
2013,4120,11456,3098,10885,1762,9878,10652,348,1273,8764,9404,9824,3073,5662,7759,2566,3462,10482,11774
2014,3832,10379,3108,10563,1912,10251,10732,366,1200,8568,8678,11822,3117,5403,7641,2430,3413,11597,12095
2015,4615,9693,2373,9027,2007,8756,8881,382,1248,7304,7983,11466,2733,3416,6442,2134,3059,10890,12498
2016,4129,8468,2390,8780,2019,8945,8921,421,1392,7013,8974,10953,2493,3133,6209,1957,3001,9730,12455
2017,4657,9230,2763,9357,2188,9405,9299,484,1544,7207,8869,11706,2647,3834,6497,2346,2916,9506,12631
2018,3751,9958,2543,9592,2508,10119,9899,492,1602,7559,9069,12226,2760,4013,7289,2453,2599,10054,13026
,,,,,,,,,,,,,,,,,,,
Other Spending,,,,,,,,,,,,,,,,,,,
Argentina,3.63E+11,4.54E+11,4.64E+11,4.66E+11,4.47E+11,4.99E+11,4.80E+11,5.59E+11,4.45E+11,,,,,,,,,,
Australia,9.80E+11,1.21E+12,1.36E+12,1.37E+12,1.27E+12,1.15E+12,1.01E+12,1.11E+12,1.20E+12,,,,,,,,,,
Brazil,1.86E+12,2.22E+12,2.07E+12,2.06E+12,2.02E+12,1.40E+12,1.39E+12,1.61E+12,1.43E+12,,,,,,,,,,
Canada,1.37E+12,1.53E+12,1.56E+12,1.57E+12,1.53E+12,1.29E+12,1.26E+12,1.36E+12,1.42E+12,,,,,,,,,,
China,5.26E+12,6.55E+12,7.38E+12,8.27E+12,9.02E+12,9.48E+12,9.53E+12,1.04E+13,1.17E+13,,,,,,,,,,
France,2.88E+12,3.20E+12,2.99E+12,3.16E+12,3.30E+12,2.81E+12,2.90E+12,3.07E+12,3.34E+12,,,,,,,,,,
Germany,2.11E+12,2.31E+12,2.12E+12,2.23E+12,2.25E+12,1.85E+12,1.85E+12,1.93E+12,2.10E+12,,,,,,,,,,
India,1.39E+12,1.51E+12,1.50E+12,1.50E+12,1.67E+12,1.72E+12,1.87E+12,2.19E+12,2.23E+12,,,,,,,,,,
Indonesia,6.78E+11,8.01E+11,8.19E+11,8.08E+11,7.82E+11,7.51E+11,8.11E+11,8.85E+11,9.06E+11,,,,,,,,,,
Italy,1.80E+12,1.95E+12,1.76E+12,1.82E+12,1.84E+12,1.53E+12,1.56E+12,1.63E+12,1.75E+12,,,,,,,,,,
Japan,5.06E+12,5.42E+12,5.44E+12,4.38E+12,4.09E+12,3.62E+12,4.14E+12,4.06E+12,4.14E+12,,,,,,,,,,
Korea,9.38E+11,1.04E+12,1.05E+12,1.13E+12,1.21E+12,1.18E+12,1.20E+12,1.30E+12,1.37E+12,,,,,,,,,,
Mexico,8.52E+11,9.56E+11,9.56E+11,1.01E+12,1.06E+12,9.28E+11,8.36E+11,9.09E+11,9.68E+11,,,,,,,,,,
Russia,1.25E+12,1.73E+12,1.86E+12,1.94E+12,1.68E+12,1.02E+12,9.66E+11,1.23E+12,1.31E+12,,,,,,,,,,
Saudi Arabia,4.78E+11,6.08E+11,6.65E+11,6.72E+11,6.75E+11,5.79E+11,5.72E+11,6.10E+11,7.00E+11,,,,,,,,,,
South Africa,2.92E+11,3.26E+11,3.02E+11,2.73E+11,2.55E+11,2.23E+11,2.01E+11,2.47E+11,2.61E+11,,,,,,,,,,
Turkey,6.29E+11,6.82E+11,7.21E+11,7.92E+11,7.68E+11,6.97E+11,6.99E+11,6.84E+11,5.96E+11,,,,,,,,,,
United Kingdom,1.45E+12,1.61E+12,1.68E+12,1.76E+12,2.04E+12,1.93E+12,1.69E+12,1.65E+12,1.78E+12,,,,,,,,,,
United States,1.20E+13,1.24E+13,1.30E+13,1.35E+13,1.40E+13,1.45E+13,1.49E+13,1.55E+13,1.64E+13,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OtherSpendingclean,,,,,,,,,,,,,,,,,,,
Argentina,363,454,464,466,447,499,480,559,445,Billion USD,,,,,,,,,
Australia,980,1214,1357,1374,1267,1151,1008,1114,1205,Billion USD,,,,,,,,,
Brazil,1857,2223,2068,2057,2017,1404,1394,1615,1429,Billion USD,,,,,,,,,
Canada,1366,1528,1558,1573,1530,1290,1258,1362,1417,Billion USD,,,,,,,,,
China,5257,6552,7383,8273,9016,9482,9528,10398,11687,Billion USD,,,,,,,,,
France,2878,3201,2992,3164,3298,2810,2897,3069,3338,Billion USD,,,,,,,,,
Germany,2106,2310,2124,2227,2249,1849,1854,1933,2099,Billion USD,,,,,,,,,
India,1393,1514,1503,1497,1667,1718,1868,2190,2234,Billion USD,,,,,,,,,
Indonesia,678,801,819,808,782,751,811,885,906,Billion USD,,,,,,,,,
Italy,1803,1952,1757,1817,1837,1529,1559,1633,1753,Billion USD,,,,,,,,,
Japan,5059,5424,5435,4383,4088,3619,4137,4057,4144,Billion USD,,,,,,,,,
Korea,938,1036,1049,1129,1215,1176,1202,1303,1370,Billion USD,,,,,,,,,
Mexico,852,956,956,1014,1058,928,836,909,968,Billion USD,,,,,,,,,
Russia,1249,1730,1855,1942,1680,1019,966,1231,1306,Billion USD,,,,,,,,,
Saudi Arabia,478,608,665,672,675,579,572,610,700,Billion USD,,,,,,,,,
South Africa,292,326,302,273,255,223,201,247,261,Billion USD,,,,,,,,,
Turkey,629,682,721,792,768,697,699,684,596,Billion USD,,,,,,,,,
United Kingdom,1454,1614,1679,1761,2043,1927,1695,1655,1781,Billion USD,,,,,,,,,
United States,11951,12414,12965,13463,14028,14530,14865,15511,16400,Billion USD,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GDP per Capita,,,,,,,,,,,,,,,,,,,
Argentina,10386,12849,13083,13080,12335,13789,12790,14592,11684,USD/Person,,,,,,,,,
Australia,52022,62518,68012,68150,62511,56756,49971,54067,57374,USD/Person,,,,,,,,,
Brazil,11286,13246,12370,12300,12113,8814,8713,9881,8921,USD/Person,,,,,,,,,
Canada,47450,52102,52542,52505,50836,43495,42280,45070,46233,USD/Person,,,,,,,,,
China,4550,5618,6317,7051,7651,8033,8079,8759,9771,USD/Person,,,,,,,,,
France,52229,57304,53721,56558,58567,50464,51852,54688,58931,USD/Person,,,,,,,,,
Germany,32315,35645,33370,34857,35220,29848,30010,31289,33493,USD/Person,,,,,,,,,
India,1358,1458,1444,1450,1574,1606,1729,1981,2010,USD/Person,,,,,,,,,
Indonesia,3122,3643,3694,3624,3492,3332,3563,3837,3894,USD/Person,,,,,,,,,
Italy,36001,38599,35054,35550,35518,30230,30936,32327,34483,USD/Person,,,,,,,,,
Japan,44508,48168,48603,40454,38109,34525,38794,38332,39290,USD/Person,,,,,,,,,
Korea,22087,24080,24359,25890,27811,27105,27608,29743,31363,USD/Person,,,,,,,,,
Mexico,9271,10203,10242,10725,10922,9606,8740,9278,9673,USD/Person,,,,,,,,,
Russia,10675,14351,15435,16007,14323,9463,8887,10925,11473,USD/Person,,,,,,,,,
Saudi Arabia,19263,23746,25243,24845,24464,20628,19879,20804,23339,USD/Person,,,,,,,,,
South Africa,7329,8007,7501,6832,6433,5735,5273,6132,6374,USD/Person,,,,,,,,,
Turkey,10672,11336,11707,12519,12096,10949,10821,10514,9370,USD/Person,,,,,,,,,
United Kingdom,39436,42038,42463,43445,47418,44966,41074,40361,42944,USD/Person,,,,,,,,,
United States,48467,49883,51603,53107,55033,56803,57904,59928,62794,USD/Person,,,,,,,,,
